,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
616,g2g4,d2d4,rnbqkbnr/ppp1ppp1/7p/3p3P/8/8/PPPPPPP1/RNBQKBNR w KQkq - 0 3,1.58,w,377a5919-b304-11ee-8ec0-6cfe544c0428,resigned,180
617,d2d3,g1f3,rnbqkbnr/ppp2pp1/7p/3pp2P/6P1/8/PPPPPP2/RNBQKBNR w KQkq - 0 4,0.6499999999999999,w,377a5919-b304-11ee-8ec0-6cfe544c0428,resigned,180
618,g1f3,e2e4,rnbqk1nr/ppp1bpp1/7p/3pp2P/6P1/3P4/PPP1PP2/RNBQKBNR w KQkq - 1 5,0.74,w,377a5919-b304-11ee-8ec0-6cfe544c0428,resigned,180
619,d1d2,d3d4,r1bqk1nr/ppp1bpp1/2n4p/3pp2P/6P1/3P1N2/PPP1PP2/RNBQKB1R w KQkq - 3 6,1.0899999999999999,w,377a5919-b304-11ee-8ec0-6cfe544c0428,resigned,180
620,f1h3,e4f6,r2qk2r/ppp1bpp1/2n2n1p/4p2P/3pN3/3P1P2/PPPQ1P2/R1B1KB1R w KQkq - 2 10,1.31,w,377a5919-b304-11ee-8ec0-6cfe544c0428,resigned,180
621,h2h4,None,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.4,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
622,h4h5,d2d4,rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,0.65,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
623,d2d3,d2d4,r1bqkbnr/ppp1ppp1/2n4p/3p3P/8/4P3/PPPP1PP1/RNBQKBNR w KQkq - 1 4,0.75,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
624,f2f4,f1e2,r1bqkbnr/ppp2pp1/2n4p/3pp2P/8/3PP3/PPP2PP1/RNBQKBNR w KQkq - 0 5,1.1800000000000002,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
625,d3d4,d3e4,r1bqkbnr/ppp2pp1/2n4p/3p3P/4pP2/3PP3/PPP3P1/RNBQKBNR w KQkq - 0 6,1.99,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
626,c2c3,c2c4,r1bqkbnr/ppp3p1/2n4p/3p1p1P/3PpP2/4P3/PPP3P1/RNBQKBNR w KQkq - 0 7,0.34999999999999987,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
627,g2g3,b2b3,r1bqkbnr/1pp3p1/p1n4p/3p1p1P/3PpP2/2P1P3/PP4P1/RNBQKBNR w KQkq - 0 8,0.5799999999999998,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
628,a2a3,a2a4,r1bqk1nr/2p3p1/p1nb3p/1p1p1p1P/1P1PpP2/2P1P1P1/P7/RNBQKBNR w KQkq - 1 10,0.52,w,4be0caa7-b307-11ee-8ec0-6cfe544c0428,resigned,180
629,h2h4,None,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.43,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
630,a2a4,c2c4,rnbqkbnr/pppp1ppp/8/4p3/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,0.8,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
631,h4h5,d2d3,rnbqkbnr/pppp1ppp/8/8/P3p2P/8/1PPPPPP1/RNBQKBNR w KQkq - 0 3,0.82,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
632,a4a5,d2d3,rnbqkbnr/pppp1pp1/7p/7P/P3p3/8/1PPPPPP1/RNBQKBNR w KQkq - 0 4,0.6799999999999999,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
633,a1a4,c2c4,rnbqkbnr/1ppp1pp1/p6p/P6P/4p3/8/1PPPPPP1/RNBQKBNR w KQkq - 0 5,1.03,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
634,e2e3,e4a4,r1bqkb1r/1pppnpp1/p1n4p/P6P/4R3/8/1PPPPPP1/1NBQKBNR w Kkq - 1 7,0.5299999999999999,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
635,d1f3,b2b3,r1bqkb1r/1pppnpp1/p6p/n6P/4R3/4P3/1PPP1PP1/1NBQKBNR w Kkq - 0 8,0.9,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
636,f4f6,g1e2,r1bqkb1r/1pp1n1p1/p4p1p/n2p3P/5R2/4PQ2/1PPP1PP1/1NB1KBNR w Kkq - 0 10,4.720000000000001,w,0b69b045-b308-11ee-8ec0-6cfe544c0428,checkmated,180
637,e2e4,c2c4,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,0.7,w,bb172e25-b309-11ee-8ec0-6cfe544c0428,win,180
638,f1e2,c1g5,rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,0.6000000000000001,w,bb172e25-b309-11ee-8ec0-6cfe544c0428,win,180
